country,weight,ai_heard,ai_cncexc,aireg_us,aireg_china,aireg_eu,aireg_country
2,0.576138941157831,1,2,4,4,2,2
2,0.885359901913057,2,2,2,4,1,4
2,0.422182128717061,1,1,4,4,2,2
2,0.627317143510851,2,3,4,4,8,8
2,0.68790527792408,2,3,4,3,2,2
2,0.318306615096961,2,2,8,8,2,2
2,0.429184234170581,1,3,2,8,2,2
2,1.09009030600901,2,3,3,4,3,8
2,2.48127239251815,3,3,1,2,8,1
2,1.09009030600901,3,3,8,8,8,8
2,0.434839275462126,2,2,2,4,2,2
2,0.676682159937545,2,2,4,4,2,2
2,0.869046686238997,1,3,2,4,2,2
2,0.359453195333621,1,3,3,4,1,1
2,0.31014263107127,2,2,3,4,1,1
2,0.701221666906412,2,2,2,3,2,2
2,0.646124299477496,3,3,8,8,8,8
2,0.31014263107127,2,3,4,4,2,2
2,0.559368894073121,3,1,1,2,1,1
2,1.09009030600901,2,3,9,9,1,1
2,0.680107549942194,2,3,2,4,2,2
2,0.31014263107127,2,3,3,4,3,3
2,2.20950484703118,1,2,3,4,4,4
2,0.359453195333621,2,1,2,8,2,2
2,0.31014263107127,1,3,3,3,1,2
2,2.48127239251815,2,2,3,3,2,2
2,0.31014263107127,2,2,4,4,4,4
2,0.559368894073121,1,2,4,4,2,2
2,0.446508029971048,1,1,1,2,1,1
2,1.4443117494458,2,2,3,4,4,3
2,0.896567916300761,1,3,8,3,8,8
2,0.318306615096961,2,2,4,4,2,2
2,1.09009030600901,2,2,8,8,8,8
2,2.11768377960725,2,2,4,8,1,2
2,0.680107549942194,2,3,2,8,2,1
2,0.676682159937545,1,3,2,4,2,2
2,1.4443117494458,1,2,3,4,3,3
2,1.00740133469763,1,1,1,2,2,1
2,0.667881976118749,2,3,4,3,2,3
2,0.31014263107127,2,2,3,4,3,2
2,0.853472006513672,1,2,4,4,1,1
2,0.421739356433707,2,3,2,2,2,2
2,2.41844017019498,1,1,3,3,3,3
2,2.02526905712874,1,3,2,4,2,2
2,1.56768385367832,1,3,4,4,2,2
2,0.828629447345647,1,1,2,4,1,2
2,0.896567916300761,2,3,4,4,4,2
2,2.48127239251815,2,3,3,4,2,2
2,0.68790527792408,1,3,1,4,1,1
2,0.680408783538274,2,3,3,4,3,2
2,1.05882911518479,2,2,4,2,2,2
2,0.853472006513672,2,2,3,4,8,8
2,0.853472006513672,1,3,1,8,4,3
2,0.828629447345647,2,3,2,3,2,2
2,0.853472006513672,2,2,4,3,4,4
2,0.646124299477496,1,2,3,4,2,2
2,1.7057038333766,3,3,4,4,4,4
2,2.13955273419557,3,3,4,8,8,8
2,1.32814424410061,1,2,8,4,8,8
2,1.18196415021852,3,1,8,8,8,8
2,0.96472078098399,1,3,4,4,4,4
2,0.901106376098888,1,3,2,4,4,4
2,0.828629447345647,2,2,8,4,2,2
2,1.00740133469763,1,1,2,4,1,2
2,0.33622094256313,1,1,2,4,2,2
2,0.96472078098399,1,2,2,4,3,2
2,0.706185074893163,1,1,2,4,2,2
2,1.56768385367832,1,2,4,4,4,4
2,0.403117073744646,2,2,4,4,4,4
2,1.14450304511437,1,3,2,4,4,4
2,2.48127239251815,2,2,4,4,2,2
2,2.41844017019498,2,2,4,3,4,2
2,0.31014263107127,2,3,4,4,2,2
2,0.737427658876899,1,3,4,4,1,2
2,0.853472006513672,2,2,4,4,2,4
2,1.00740133469763,1,3,3,4,2,2
2,1.54627422007809,1,2,4,4,1,3
2,0.680408783538274,1,1,4,4,4,4
2,1.00740133469763,1,3,2,2,1,1
2,2.41844017019498,1,3,2,3,2,2
2,0.737427658876899,1,2,3,4,1,1
2,1.54627422007809,1,3,4,4,8,2
2,1.32814424410061,2,3,3,4,2,2
2,2.48127239251815,2,3,2,4,2,2
2,0.576138941157831,1,2,3,4,1,1
2,0.576138941157831,1,2,2,3,1,2
2,1.50126582084635,1,2,4,2,1,2
2,1.54627422007809,1,3,4,2,2,1
2,1.05882911518479,3,2,4,8,8,8
2,0.532481347732914,2,3,4,4,4,4
2,0.798310228442789,1,2,8,4,8,8
2,1.05826987720187,1,2,1,2,4,4
2,1.05882911518479,2,2,2,4,3,2
2,1.18682115409706,1,3,3,3,2,2
2,0.646124299477496,2,3,4,4,2,2
2,0.828629447345647,2,2,8,4,8,8
2,1.32814424410061,2,2,4,4,8,2
2,0.853472006513672,1,1,2,3,2,2
2,1.32814424410061,2,3,8,8,8,8
2,1.3348673591579,3,3,8,8,8,8
2,2.41844017019498,1,2,4,1,4,4
2,1.54627422007809,1,3,3,3,3,3
2,0.706185074893163,3,3,8,8,8,1
2,1.32814424410061,1,2,2,8,2,2
2,0.532481347732914,2,2,3,1,2,2
2,0.798310228442789,2,3,2,1,2,2
2,0.676682159937545,2,3,3,3,8,1
2,2.48127239251815,2,3,2,8,8,2
2,2.13955273419557,2,2,4,4,2,8
2,1.69711298497,2,3,8,8,8,8
2,1.00740133469763,1,3,3,3,3,3
2,0.737427658876899,1,2,4,4,2,3
2,1.32814424410061,2,2,2,4,1,1
2,1.54627422007809,2,2,8,8,8,8
2,2.48127239251815,1,2,4,4,2,3
2,0.532481347732914,1,3,2,2,1,1
2,0.624749880710902,1,2,3,4,1,1
2,1.00740133469763,1,3,4,4,3,2
2,0.96472078098399,1,2,4,2,2,2
2,1.69711298497,1,2,3,4,8,3
2,2.48127239251815,1,1,4,4,2,1
2,2.48127239251815,2,3,4,4,2,2
2,0.680408783538274,1,2,4,4,4,4
2,0.421739356433707,1,3,4,4,2,2
2,0.896567916300761,1,2,2,4,2,2
2,2.13955273419557,2,2,3,3,2,2
2,1.56768385367832,1,2,4,4,8,8
2,0.624749880710902,2,8,9,9,9,9
2,1.32814424410061,1,1,8,8,8,8
2,2.48127239251815,2,2,3,3,3,3
2,0.429184234170581,1,2,3,3,3,3
2,0.421739356433707,1,3,2,4,2,2
2,0.901106376098888,3,3,4,4,2,2
2,0.901106376098888,2,3,4,4,8,8
2,0.901106376098888,1,3,3,3,2,2
2,1.4443117494458,3,3,8,4,8,1
2,0.676682159937545,3,2,2,4,2,2
2,1.09009030600901,2,3,4,4,1,1
2,2.48127239251815,2,3,8,3,8,8
2,2.48127239251815,1,2,3,4,2,2
2,1.94928216124695,2,3,2,8,2,2
2,1.05882911518479,2,3,3,3,3,2
2,1.3348673591579,1,3,4,4,2,2
2,0.403117073744646,1,2,4,4,3,3
2,1.09009030600901,2,3,4,4,2,2
2,1.05882911518479,2,2,8,8,8,8
2,1.07591379059319,2,2,4,8,4,8
2,1.61468348543956,1,3,4,3,2,3
2,0.853472006513672,2,2,4,4,2,2
2,1.05882911518479,2,3,2,2,8,2
2,0.714765898159395,1,2,1,1,8,1
2,0.896567916300761,1,2,4,4,8,2
2,1.00547676171594,2,3,3,3,2,2
2,0.896567916300761,3,3,8,8,8,1
